Flight No.,Date and time ( UTC ),"Version, Booster   [ b ]",Launch site,Payload [ c ],Payload mass,Orbit,Customer,Launch outcome,Booster landing,Payload,Version Booster,Date,Time
59,,,VAFB,,"9,600 kg (21,200 lb)",Polar LEO,Iridium Communications,Success[351],Success[352](drone ship),Iridium NEXT,F9 B5,22 July 2018,05:50
60,,,CCAFS,,"5,800 kg (12,800 lb)[357]",GTO,Telkom Indonesia,Success[358],Success[358](drone ship),Merah Putih,F9 B5349B1048[,25 July 2018,11:39
61,,,CCAFS,,"7,060 kg (15,560 lb)[361]",GTO[361],Telesat,Success[361],Success[361](drone ship),Telstar 18V,F9 B5B1046.2354,7 August 2018,05:18
62,,,VAFB,,"3,000 kg (6,600 lb)[363]",SSO,CONAE,Success[363],Success[363](ground pad),SAOCOM 1A,F9 B5[,10 September 2018,04:45
63,,,KSC,,"5,300 kg (11,700 lb)[369]",GTO,Es'hailSat,Success[370],Success[370](drone ship),Es'hail 2,F9 B5B1048.2364,8 October 2018,02:22
64,,,VAFB,,"~4,000 kg (8,800 lb)[372]",SSO,Spaceflight Industries,Success[373],Success[373](drone ship),SSO-A,F9 B5B1047.2268,15 November 2018,20:46
65,,,CCAFS,,"2,500 kg (5,500 lb)[382]",LEO (ISS),NASA (CRS),Success,Failure[383](ground pad),SpaceX CRS-16,F9 B5B1046.3268,3 December 2018,18:34:05
66,,,CCAFS,,"4,400 kg (9,700 lb)[388]",MEO,USAF,Success[386],No attempt[386],GPS III,F9 B5[,5 December 2018,18:16
67,,,VAFB,,"9,600 kg (21,200 lb)",Polar LEO,Iridium Communications,Success,Success(drone ship),Iridium NEXT,F9 B5[,23 December 2018,13:51
68,,,CCAFS,,"4,850 kg (10,690 lb)[403]",GTO,"PSN
SpaceIL / IAI
Air Force Research",Success,Success(drone ship),Nusantara Satu,F9 B5B1049.2397,11 January 2019,15:31
69,,,KSC,,"12,055 kg (26,577 lb)[415][h]",LEO (ISS),NASA (CCD),Success,Success(drone ship),Crew Dragon Demo-1,F9 B5B1048.3399,22 February 2019,01:45
70,,,CCAFS,,"2,495 kg (5,501 lb)[432]",LEO (ISS),NASA (CRS),Success,Success(drone ship),SpaceX CRS-17,F9 B5[]413,2 March 2019,07:49
71,,,CCAFS,,"13,620 kg (30,030 lb)[5]",LEO,SpaceX,Success,Success(drone ship),Starlink,F9 B5[,4 May 2019,06:48
72,,,VAFB,,"4,200 kg (9,300 lb)[443]",SSO,Canadian Space Agency (CSA),Success,Success(ground pad),RADARSAT Constellation,F9 B5B1049.3434,24 May 2019,02:30
73,,,CCAFS,,"2,268 kg (5,000 lb)[464]",LEO (ISS),NASA (CRS),Success,Success(ground pad),SpaceX CRS-18,F9 B5B1051.2420,12 June 2019,14:17
74,,,CCAFS,,"6,500 kg (14,300 lb)[474]",GTO,Spacecom,Success,No attempt[474],AMOS-17,F9 B5B1056.2465,25 July 2019,22:01
75,,,CCAFS,,"15,600 kg (34,400 lb)[5]",LEO,SpaceX,Success,Success(drone ship),Starlink,F9 B5B1047.3472,6 August 2019,23:23
76,,,CCAFS,,"2,617 kg (5,769 lb)",LEO (ISS),NASA (CRS),Success,Success(drone ship),SpaceX CRS-19,F9 B5,11 November 2019,14:56
77,,,CCAFS,,"6,956 kg (15,335 lb)[486]",GTO,Sky Perfect JSATKacific 1,Success,Success(drone ship),JCSat-18,F9 B5[,5 December 2019,17:29
78,,,CCAFS,,"15,600 kg (34,400 lb)[5]",LEO,SpaceX,Success,Success(drone ship),Starlink,F9 B5B1056.3482,17 December 2019,00:10
